Price,Close,High,Low,Open,Volume
Ticker,2454.TW,2454.TW,2454.TW,2454.TW,2454.TW
Date,,,,,
2024-01-02,898.1528930664062,929.2815356395539,897.2373447554313,924.7037940846792,10009034
2024-01-03,872.5175170898438,894.4906759672375,872.5175170898438,893.5751276806794,12547023
2024-01-04,872.1415405273438,889.9978867234854,866.502694360141,883.419232861749,8449251
2024-01-05,865.5628662109375,878.7201736234816,865.5628662109375,873.0813275895341,5524580
2024-01-08,864.6231079101562,879.6600315259851,862.7434924581777,874.0211851700493,5553064
2024-01-09,872.1415405273438,883.419232861749,870.2619251382762,881.5396174726815,5782533
2024-01-10,868.3823852539062,878.7202707926432,866.5027697014086,878.7202707926432,4252336
2024-01-11,864.6231079101562,880.5998392519743,864.6231079101562,875.9008006220279,6787619
2024-01-12,870.2620239257812,873.0814473294284,860.8639459136238,864.6231771184868,4733940
2024-01-15,866.5027465820312,878.7202473472877,863.6833233285106,878.7202473472877,4242507
2024-01-16,841.1279296875,861.8037000261872,841.1279296875,859.924084540852,10182511
2024-01-17,826.0910034179688,848.6463891768212,826.0910034179688,836.4288885574427,11463245
2024-01-18,843.007568359375,843.007568359375,830.7900673686595,830.7900673686595,6754372
2024-01-19,864.6231079101562,864.6231079101562,852.4056074722954,864.6231079101562,9037844
2024-01-22,866.5027465820312,886.2387093566763,864.6231310796842,872.1415930890727,9381596
2024-01-23,856.164794921875,866.5026793830613,854.2851795652957,862.7434486699026,6015511
2024-01-24,879.6600952148438,879.6600952148438,859.9241315401517,860.8639393341847,7798880
2024-01-25,886.2386474609375,892.8173012596931,876.8405706055722,882.4794167187914,8962616
2024-01-26,879.6600952148438,882.4795185969425,872.1416328625801,879.6600952148438,5273128
2024-01-29,881.5396118164062,888.1182656359316,870.2619195543626,888.1182656359316,7026602
2024-01-30,905.0348510742188,914.4329284477828,881.5396576403086,881.5396576403086,9478077
2024-01-31,907.8543090820312,918.1921945891766,900.3358468950165,917.2523868157997,9080284
2024-02-01,874.0211791992188,893.7571413101689,866.5027174426663,893.7571413101689,16712977
2024-02-02,879.6600952148438,879.6600952148438,870.2620172745142,874.961056244679,7360212
2024-02-05,880.599853515625,883.4192767392609,872.1415838447172,873.0813915859292,5742677
2024-02-15,913.4931030273438,923.830987938147,893.7571409249011,923.830987938147,11678406
2024-02-16,911.613525390625,918.1921796975677,905.0348710836823,917.252371939433,4417821
2024-02-19,905.0348510742188,914.4329284477828,893.7571582259419,914.4329284477828,4193442
2024-02-20,922.8911743164062,925.7105974558657,902.2154046270366,902.2154046270366,7570527
2024-02-21,921.951416015625,926.6504548332377,913.493146143922,913.493146143922,5334177
2024-02-22,953.9049072265625,958.6039461784175,928.5300968865455,928.5300968865455,10182733
2024-02-23,1033.7884521484375,1033.7884521484375,949.2057606090199,972.7009527033026,23431414
2024-02-26,1047.8856201171875,1052.5846587724216,996.1961949096133,1024.3904268410174,12036894
2024-02-27,1047.8856201171875,1090.1769680142936,1038.4875428067194,1057.2836974276556,17137848
2024-02-29,1071.3807373046875,1076.0797756261993,1043.1865073756167,1047.8855456971285,9126357
2024-03-01,1038.487548828125,1094.8760130178875,1029.0894714631647,1094.8760130178875,12066326
2024-03-04,1080.7789306640625,1085.4779694930367,1038.487581203295,1047.8856588612432,12304302
2024-03-05,1085.47802734375,1090.17706642316,1061.9828319466992,1080.77898826434,8416339
2024-03-06,1118.3712158203125,1127.7692932641808,1071.3808286009717,1076.0798673229058,9634661
2024-03-07,1155.9635009765625,1184.1577327076982,1141.8663851109945,1146.5654237328506,15008514
2024-03-08,1155.9635009765625,1198.254848573266,1123.0702306235708,1184.1577327076982,16121484
2024-03-11,1151.2645263671875,1170.060681899713,1132.468370834662,1160.6626041334503,5703039
2024-03-12,1141.866455078125,1151.264532897698,1118.3712605291923,1127.7693383487654,5088394
2024-03-13,1141.866455078125,1184.1578052662037,1137.1674161683384,1170.060688536844,6917876
2024-03-14,1080.7789306640625,1155.9635519276494,1071.3808530061142,1146.565474269701,12529434
2024-03-15,1066.6817626953125,1080.7788785018586,1052.5846468887667,1066.6817626953125,8516381
2024-03-18,1099.5750732421875,1108.9731507912659,1066.6818018204126,1066.6818018204126,5901035
2024-03-19,1080.7789306640625,1094.876047150985,1066.6818141771398,1080.7789306640625,8740357
2024-03-20,1061.9827880859375,1104.2741380539615,1052.5847103152655,1076.0799047419455,6032629
2024-03-21,1071.3807373046875,1090.1768905907345,1057.283622340152,1090.1768905907345,6391070
2024-03-22,1057.28369140625,1076.079845920139,1043.1865755208335,1071.3808072916668,5827756
2024-03-25,1052.5845947265625,1071.3807482038226,1047.8855563572474,1052.5845947265625,3241531
2024-03-26,1061.9827880859375,1099.5750991686255,1052.5847103152655,1071.3808658566095,6534083
2024-03-27,1094.8760986328125,1104.274176732665,1057.2837862334027,1066.6818643332551,5980133
2024-03-28,1090.1768798828125,1108.9730329842403,1066.6816885060277,1090.1768798828125,6926740
2024-03-29,1113.6722412109375,1113.6722412109375,1090.1770462486816,1090.1770462486816,4051000
2024-04-01,1090.1768798828125,1127.769186085668,1085.4778416074555,1118.3711095349543,5359025
2024-04-02,1094.8760986328125,1113.6722548325174,1090.1770595828864,1099.5751376827388,4164058
2024-04-03,1090.1768798828125,1104.2739947088833,1071.3807267813847,1080.7788033320985,4100953
2024-04-08,1080.7789306640625,1108.9731636379076,1076.0798918350883,1104.2741248089335,4066781
2024-04-09,1090.1768798828125,1104.2739947088833,1080.7788033320985,1090.1768798828125,3322521
2024-04-10,1123.0703125,1141.8664683577406,1094.8760787133892,1099.5751176778242,6393274
2024-04-11,1127.7691650390625,1155.963394165039,1113.6720504760742,1132.468203226725,6271331
2024-04-12,1108.9730224609375,1127.7691753840043,1094.8759077686375,1118.371098922471,5214036
2024-04-15,1043.1866455078125,1090.1770349451012,1043.1866455078125,1090.1770349451012,9187015
2024-04-16,991.4971923828125,1024.3904641680242,991.4971923828125,1000.89527003573,12016661
2024-04-17,986.7981567382812,1010.2933509463355,982.0991178966704,1000.8952732631138,7727084
2024-04-18,986.7981567382812,996.1962344215029,958.6039236886161,982.0991178966704,7168984
2024-04-19,933.2290649414062,968.0019505434526,911.6134874049991,958.6038733537104,15661098
2024-04-22,907.8543090820312,929.4698878696987,907.8543090820312,924.7708490028144,9091869
2024-04-23,913.4931030273438,929.4698342531307,911.6134875890159,929.4698342531307,5846136
2024-04-24,949.205810546875,958.6038878790223,934.1688868154394,935.1086945486542,6229216
2024-04-25,921.951416015625,944.5068023401662,917.2523771980121,936.0485324684632,6053259
2024-04-26,944.5068359375,944.5068359375,927.5902955923507,931.3495267801617,5747819
2024-04-29,953.9049072265625,991.4972188414024,944.5068293228525,991.4972188414024,7963720
2024-04-30,932.2892456054688,968.0019384814847,932.2892456054688,953.904822872531,5868406
2024-05-02,939.8077392578125,958.6038940429687,922.8911999511719,930.4096618652344,5401225
2024-05-03,977.4000244140625,986.79810157189,968.0019472562349,977.4000244140625,6598170
